Lake Winnipeg Zebra Mussel Data 2017 to 2019//Donnes sur la moule zÈbrÈe du lac Winnipeg de 2017 Ö 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
Data File Name // Nom du fichier de donnÇes,LW_Zebra_Mussel_Data_LW_donnÈes_moule zÈbrÈe_LW_2017_2019.csv,,,,,,,,,,,,,,,,,,,,,,,,,
Data Version // Version de donnÇes,V2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI // DonnÇes DOI,409b9de2-14e1-42c9-a7c1-0c307bece116,,,,,,,,,,,,,,,,,,,,,,,,,
Date File Generated // Date de fichier gÇnÇrÇ,14-Oct-20,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name // Nom de l'organisation,Environment and Climate Change Canada // Environnement et Changement climatique Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Conctact Information // Coor-donnÇes de l'organisation,"200 Sacre-Coeur Blvd, Gatineau, Quebec, K1A 0H3 // 200, boul. SacrÇ Coeur, Gatineau (Quebec) K1A 0H3",,,,,,,,,,,,,,,,,,,,,,,,,
Context Note // Notre contextuelle,,,,,,,,,,,,,,,,,,,,,,,,,,
Email // Courriel,David.Depew@Canada.ca,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Investigator // Chercheur principal,David Depew,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Investigator Affiliation // Affiliation du chercheur principal,"Environment and Climate Change Canada, Science and Techonology Branch, Water Science and Technology Directorate, Watershed Hydrology and Ecology Research Division // Environnement et Changement climatique Canada, Direction gÇnÇrale des sciences et de la technologie, Direction des sciences et technologie - Eau, Division de la recherche hydrologique et Çcologique sure les bassins hydrologique",,,,,,,,,,,,,,,,,,,,,,,,,
Principal Invesigator Contact Information // CoordonÇes du chercheur principal,David.Depew@ec.gc.ca,,,,,,,,,,,,,,,,,,,,,,,,,
Data Stewards // Intendentants des donnÇes,David Depew,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada // Licence du gouvernement ouverte,http://open.canada.ca/en/open-government-licence-canada // http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,,,,,,,,,
